county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp,cluster
Jersey,Illinois,39.08568533,-90.35669373,22441,60.76948456,13.52778349,14.59159421,33.8,35.4,20.97008116,15.45735588,5.04406308,84.5,66.97664807,11007,13.6,8.203819334,132.0471789,11.18721461,0.787671233,1.141552511,76.64849245,9.875248176,11.26829857,14.4,9.2,30.0761508,3.397190294,59117.0,43.34497478,42.4434052,80.69244085,9.533444418,20.39181581,19.49924475,0.627465893,51.12830137,60.56993692,26346.0,0.1041,0.6466,0.3461,0.2143,0.2929,0.533,0.3473,0.2846,0.4954,0.2404,0.0729,0.3168,0.1509,0.4352,0.3085,0.1044,0.234,0.7765,0.1939,0.1503,34.38036364,79.05672131,0
Jo Daviess,Illinois,42.36576243,-90.21250527,22186,36.92093588,12.83525727,13.21204477,28.7,25.8,19.35799461,15.52328493,7.12692038,92.88933474,62.58389262,10983,12.2,10.65110679,131.1128491,11.29032258,0.978147763,0.780437045,79.99890734,9.515643095,10.98810403,10.3,8.5,27.42959459,3.087602978,56832.0,34.01442308,66.36187828,78.1512605,9.711732794,18.80089862,28.10072077,0.592989336,49.957877,72.5901755,29892.0,0.1143,0.2369,0.1636,0.155,0.1143,0.9274,0.1726,0.2025,0.2353,0.1818,0.1538,0.3082,0.1878,0.3228,0.1869,0.1576,0.4734,0.1299,0.0449,0.0385,29.92024788,73.22622951,0
Johnson,Illinois,37.45963631,-88.88093142,12866,37.41019932,16.13760795,16.53065971,24.6,26.1,20.14074048,24.54282964,5.878887842,97.23839123,45.88717302,4100,16.4,12.40310078,262.1400945,9.655937847,1.420643729,0.554938957,78.17908696,10.80715756,11.69374555,8.2,12.6,31.36234837,3.073733149,53884.0,47.99780582,27.48623371,84.13173653,8.451041417,18.48908157,21.48362235,0.033336111,45.43192036,100.0,20928.0,0.3002,0.7561,0.758,0.6829,0.6632,0.6686,0.07,0.6673,0.2069,0.2143,0.4648,0.1019,0.2451,0.2378,0.7829,0.3114,0.4187,0.9745,0.602,0.4855,35.87527273,74.47111111,2
Kane,Illinois,41.93888869,-88.42864695,526615,1012.403909,16.04068867,13.14262051,28.8,14.8,20.90298565,20.69574537,9.103724508,88.10308255,61.926219,273901,11.9,7.20074364,165.7173852,17.7555837,3.997812572,0.958438867,81.48802991,10.13489139,10.8031875,9.5,5.7,32.00402643,3.217044096,79834.0,42.04858663,200.324178,73.47767481,13.46260515,25.45955194,13.66656933,6.990260349,50.19804723,3.558335549,31774.0,0.205,0.5116,0.1035,0.6995,0.3563,0.078,0.922,0.0194,0.5785,0.2079,0.8271,0.9589,0.9335,0.8287,0.0223,0.88,0.313,0.1827,0.3413,0.4394,32.44988425,74.17901639,3
Kankakee,Illinois,41.13771689,-87.86183075,111493,164.7913764,16.44573353,16.02343514,41.2,36.5,19.61937866,24.14302809,6.658104407,93.16377863,60.43712147,55920,20.2,10.94840564,317.8417569,15.77322134,1.432806324,0.926383399,76.4785506,11.10771541,12.05135594,10.8,12.2,31.54422293,2.941758372,53884.0,50.56705975,230.9963548,68.21223471,14.34514087,22.74321966,16.85995783,1.347172088,50.77982986,24.45680438,25111.0,0.5014,0.7036,0.4397,0.4951,0.5536,0.2639,0.7205,0.6008,0.8529,0.8071,0.6743,0.6937,0.7227,0.7205,0.3155,0.3282,0.7182,0.8071,0.6966,0.7307,33.52370243,74.47833333,1
Kendall,Illinois,41.59054554,-88.42884135,121452,379.2005731,13.43504206,13.87534136,31.4,22.0,23.11610159,8.986584775,5.256361832,95.26710394,72.79316522,67661,5.4,5.308276157,104.2036998,12.70528326,1.884150223,0.534691279,81.96453414,8.901984245,10.11881612,7.6,5.5,30.59355716,3.495286134,93345.0,26.93606138,152.6079705,83.04254213,11.73787327,28.46577806,10.2583747,2.97118666,50.42801861,10.41957189,31920.0,0.0131,0.2837,0.0987,0.0891,0.0509,0.0156,0.9685,0.0076,0.5829,0.1977,0.6791,0.8456,0.8144,0.7358,0.0032,0.4954,0.015,0.0252,0.0455,0.1086,32.47061152,74.45278689,3
Knox,Illinois,40.93181491,-90.21326917,51752,72.23748139,17.96199882,17.7575838,29.2,30.1,18.29835181,29.38024647,5.780457199,86.84771784,56.34720653,22203,22.7,13.62613057,354.787355,11.53937101,1.300543864,1.347836368,77.15067983,12.02675777,12.8971901,17.5,13.4,30.26883989,3.01648067,44553.0,54.49543941,93.21525069,65.42006721,10.18,19.63002874,21.59163474,0.501564799,49.56696999,24.32018746,22939.0,0.6227,0.4957,0.6036,0.4467,0.5626,0.7211,0.1926,0.5934,0.5654,0.5466,0.5151,0.4556,0.4807,0.8411,0.1751,0.2767,0.8771,0.8997,0.7835,0.6336,31.70697516,74.01147541,1
Lake,Illinois,42.32337829,-88.00363099,702890,1583.524436,14.0446992,13.75903326,25.4,19.8,20.37371527,14.23009356,7.134818399,90.9434514,69.37458815,378401,10.3,7.71833068,154.1985724,16.33542288,2.577330182,0.58575686,81.61116416,9.247481967,10.65558601,8.7,6.5,31.91934019,3.214026071,87336.0,33.09985519,203.2313116,73.35248823,13.80883475,24.09792932,14.24164422,4.837146386,50.02040432,1.267303707,40655.0,0.0961,0.5256,0.0181,0.3161,0.1948,0.0965,0.8532,0.0242,0.4976,0.1522,0.7749,0.9198,0.8972,0.9004,0.0605,0.6956,0.2763,0.6078,0.5021,0.3502,32.88752061,71.92065574,3
LaSalle,Illinois,41.34399369,-88.88596252,111935,98.60932792,15.10722291,16.06501748,28.1,29.9,20.67733112,25.05183869,5.921120497,85.48473066,59.70755792,56230,20.2,12.99208664,124.6198629,13.29727293,0.991661032,0.664863647,77.11869064,10.74703244,11.68412101,13.3,10.4,30.60646585,3.011447475,54063.0,48.20042343,122.306857,72.45766508,11.24276724,21.53248652,18.93173718,1.105730041,49.53303482,30.2148801,26228.0,0.3852,0.8173,0.3553,0.4193,0.5062,0.5237,0.4196,0.2846,0.4693,0.2604,0.4502,0.6332,0.5473,0.6415,0.1869,0.1624,0.5339,0.6514,0.319,0.3973,32.09370243,75.83471698,2
Lawrence,Illinois,38.71998612,-87.72674475,16582,44.55395585,16.68972613,17.81350613,22.6,26.0,20.89517777,43.83242824,6.798065517,79.02078365,49.85884908,5981,20.9,16.69965364,107.3114895,10.2610261,3.060306031,0.810081008,75.84089084,11.24950706,11.96282952,17.2,13.3,32.9393126,3.020515199,43767.0,56.84016582,38.08289404,71.07747396,8.25059911,18.6869648,17.43101808,0.697113819,43.95179194,58.01699044,16417.0,0.5189,0.3298,0.9663,0.8685,0.7176,0.4352,0.1219,0.8819,0.6361,0.5489,0.6132,0.6753,0.6695,0.6065,0.4429,0.7911,0.3986,0.992,0.8571,0.7985,35.51363636,77.7836,1
