county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp
Clackamas,Oregon,45.18803088,-122.2208793,394967,211.1351706,11.78893142,13.19099657,28.5,16.2,20.00654686,10.9947644,6.273627153,82.44,73.45002213,218998,7.9,9.038655397,160.0882677,16.3810784,2.285808799,1.167714191,80.88610524,10.1662412,12.1061858,8.5,10.2,28.71218259,3.212642333,81061,31.19990284,300.3259827,70.53185467,13.96927544,21.51415009,18.10202488,1.816499896,50.71177071,18.07857614,35506,0.1067,0.4823,0.0548,0.0834,0.1293,0.3789,0.4607,0.185,0.377,0.1251,0.5247,0.7587,0.666,0.9124,0.3085,0.6221,0.4187,0.0872,0.4027,0.2213,44.48,66.29704918
Clatsop,Oregon,45.99465735,-123.6554242,37660,45.46856325,14.68538512,15.12529777,29.6,22.3,19.3186352,21.11509799,8.875975428,68.52,65.59708898,19344,16,13.27140013,163.2782811,17.79527559,2.456692913,2.299212598,78.56833641,11.43232031,13.20936139,8,12.5,30.7191577,3.050609039,53806,53.22926829,197.9363212,61.70961659,13.11902128,19.09767629,22.4273212,1.889530903,50.57086812,38.97243446,27071,0.3906,0.5116,0.3025,0.1598,0.3034,0.6816,0.1761,0.8083,0.4355,0.5705,0.4591,0.7001,0.5903,0.8392,0.2455,0.6587,0.8322,0.5626,0.8214,0.5447,43.95,58.38327869
Columbia,Oregon,45.94379476,-123.0883124,49645,75.44986087,13.5540601,15.14818122,30.6,21.7,19.54341389,18.21730644,7.003586102,81.16,56.24099653,24387,13.1,6.95222278,133.2171953,15.20591341,1.847940866,1.135163675,79.32540774,10.78056055,12.92056014,12,12.3,32.71989698,3.192471554,63338,41.07217066,122.1976007,74.17599503,11.59428051,21.12950341,18.72768582,0.758753654,49.99713615,43.61208486,27449,0.354,0.7291,0.2795,0.269,0.3929,0.4575,0.4479,0.6103,0.5345,0.5256,0.3814,0.4842,0.4212,0.5463,0.6453,0.4833,0.6154,0.1175,0.4333,0.4018,39.34,62.75836066
Coos,Oregon,43.17421262,-124.0594385,62944,39.43899984,16.32785302,16.72462583,38.6,27.1,16.79775898,26.63615561,9.125886218,57.29,56.39309348,26460,24.1,12.52191335,170.3831139,18.36536595,2.640264026,1.960784314,76.68644222,12.74944691,14.50298003,13,14.8,30.01472796,2.986226388,48352,60.00996636,164.7375989,64.79354354,14.1881076,18.40376462,25.82118064,0.430211119,50.68101694,38.35318751,24261,0.6558,0.8854,0.4992,0.3827,0.6415,0.9166,0.0971,0.9417,0.2178,0.6243,0.4731,0.4279,0.4387,0.6364,0.66,0.7084,0.788,0.4145,0.8478,0.7087,40.25,56.50360656
Crook,Oregon,44.14220253,-120.3566086,21334,7.161726113,15.98455455,16.69776133,32.9,26.7,18.37387582,27.55150934,8.558951965,72.13,54.9834574,9464,19.7,11.24421572,345.8347938,20.37138176,3.823047515,2.075368651,78.52368496,12.4531537,14.60230292,18,14.1,30.36868823,2.973833695,51348,51.60089352,61.15700962,70.71420923,14.11411411,19.75950057,24.9046801,0.621322664,50.31633636,48.01697016,22346,0.6291,0.9124,0.6507,0.4744,0.7151,0.923,0.1681,0.8972,0.2521,0.6711,0.4027,0.2878,0.311,0.5823,0.6482,0.8641,0.3473,0.0656,0.4887,0.6052,31.12,65.8547541
Curry,Oregon,42.45765445,-124.1567867,22364,13.73339329,16.01021623,15.06597262,34.2,23.9,15.39129108,22.85898261,9.297173928,70.31,53.51113286,8948,22.3,9.263752261,108.0471649,17.94131794,2.164502165,2.549302549,78.13803191,12.57771634,14.1506122,11.8,14.1,29.59047614,3.025157783,48788,56.90030475,137.5856686,69.85632184,12.75373799,14.48297024,34.19103143,0.458354554,50.78683207,38.73189054,24908,0.469,0.9023,0.4534,0.3244,0.5562,0.9927,0.0169,0.9755,0.0621,0.5215,0.4339,0.3728,0.3868,0.6304,0.7647,0.6004,0.3298,0.2464,0.5199,0.5145,48.36,57.92413793
Deschutes,Oregon,43.91506899,-121.2281301,170813,56.60546589,12.97575324,13.57548159,22.9,14.4,20.92224692,14.55586709,7.695282289,79.28,72.06095482,95367,11.5,10.3277592,168.568316,19.93223335,2.298173247,1.060695345,81.45327105,10.44417177,12.76554745,8.4,11.9,28.59843683,3.190050585,67372,42.42642871,134.8803659,65.68972417,16.21966432,20.1280235,20.00458343,1.111720949,50.51876081,27.64354954,30177,0.3852,0.5425,0.1509,0.0987,0.2528,0.5944,0.3528,0.2496,0.3785,0.1987,0.4167,0.5817,0.4998,0.7052,0.3295,0.6253,0.1624,0.0898,0.2165,0.2063,26.18,57.87409836
Douglas,Oregon,43.27969519,-123.1664746,107375,21.32293412,15.12760447,15.4785148,31.4,22.5,16.81783828,30.34482759,7.743588468,66.04,57.95950428,46374,21.3,10.41999909,218.7379199,17.77626039,2.606122681,1.160805736,77.15598891,12.72453087,14.57396541,14.1,14.2,31.90488097,3.01079646,47020,61.78633218,164.6181426,68.30275841,14.38434719,19.34568338,25.72835342,0.539214732,50.7050044,41.17789109,23608,0.6816,0.8988,0.5524,0.3677,0.6641,0.9058,0.1617,0.8819,0.4995,0.8131,0.398,0.4027,0.3833,0.6578,0.7599,0.7042,0.6934,0.3929,0.8491,0.7504,39.45,68.31770492
Gilliam,Oregon,45.37828961,-120.2107968,1913,1.587919729,13.85749511,14.09471012,35.8,28.8,17.30725797,32.82941598,7.233407905,88.24,65.45454546,844,15.8,16.17250674,0,13.92405063,1.518987342,1.772151899,81.58739433,11.36830141,13.29503144,16.6,11.9,28.96127442,2.856085653,54325,60.71428571,33.62249188,63.3254717,13.84217335,19.42977825,27.82470961,0.987925357,48.89123548,100,23360,0.219,0.88,0.5705,0.3085,0.5065,0.9058,0.6842,0.9245,0.1156,0.894,0.4483,0.4658,0.447,0.4409,0.6068,0.5075,0.1175,0.0965,0.1668,0.4674,35.91,75.39357143
Grant,Oregon,44.49153729,-119.0073241,7227,1.596142834,14.09221788,14.67959224,26.9,26.9,17.1123382,17.54385965,8.83179446,85,59.20863309,3099,20,9.735744089,69.21852288,14.76190476,1.714285714,3.015873016,79.00656673,11.78121067,13.80939683,8.6,14,29.65294234,3.042619121,46141,55.37757437,64.38833669,70.34001214,12.39509361,17.71181717,30.37904125,0.379229872,50.01393534,100,23960,0.4508,0.5813,0.5244,0.3292,0.4741,0.9669,0.1032,0.8083,0.3668,0.6769,0.2961,0.4164,0.3273,0.4088,0.7743,0.3919,0.1754,0.5963,0.4018,0.4476,35.04,65.89016393
